Fuente,Categora,Título,Empresa,Ubicacin,Modalidad,Idioma Solicitado,Nivel de Puesto,Salario,Tipo de Empresa,Fecha,Descripción,URL,Palabras_Clave,Idioma,Nivel del Puesto,Link,Categora STEM,Tags,Conteo_Ttulo,salario_mensual,valor,periodo,moneda,crc,crc_limpio,cluster_id,Categora_refinada,texto_enriquecido,rango_salarial_crc,categoria_refinada_crc,cluster_refinado,cluster_nombre,rango_detallado,subcluster,cluster_nuevo,cluster_final
RemoteOK,natural sciences managers,languages instructors,ae virtual class,remoto,remoto,,,10000 10000 per year,internacional,2025-11-08 00:00:00,ae virtual class aevirtualclasscom apply now 23683 views 2403 applied 10 geolocked share this job ae virtual class is hiring a remote languages instructors description ae virtual class a member of the academia europea business group a leader in language teaching with 56 years of experience and the largest teaching staff in the americas we are looking for language enthusiasts who want to be part of our extended family experience is not a requirement we teach you how to teach job requirements laptop with webcam stable internet connection 15 mbps attitude dynamism advanced knowledge of french or german or italian or mandarin or japanese evening hours gmt 6 main responsibilities motivate students generate interest in cultures and languages prepare reports evaluations please mention the word innovation when applying to show you read the job post completely rmzqumtq4lji0mi4xmjk this is a feature to avoid fake spam applicants companies can search these words to find applicants that read this and instantly see theyre human salary and compensation 10000 10000year,,,no especificado,No identificado,https://remoteok.com/remote-jobs/remote-languages-instructors-ae-virtual-class-1093209,,,176,833.3333333333334,10000,anual,USD,425000.0,425000.0,4,natural sciences managers (bajo),"Categoría laboral: natural sciences managers (bajo). nivel bajo o entry-level. Salario en colones: ₡425,000.",Bajo,Natural Sciences Managers (Asistente),0,C_5,< ₡1M,,,C5
RemoteOK,natural sciences managers,dm reply,executive bootcamp,remoto,remoto,,,10000 20000 per year,internacional,2025-11-08 00:00:00,executive bootcamp executivebootcampco apply now 4002 views 592 applied 15 share this job executive bootcamp is hiring a remote 2000 monthly linkedin dm reply job usa timezone 2000 monthly top performer in our team makes 3000 monthly in this job fulltime linkedin dm replying 9am9pm pst continue only if you live in usa timezone countries longterm only 6 daysweek saturday off job times 9am9pm pst again continue only if you live in usa timezone countries no pakistan india philipines africa timezones so you can reply in daily hours besides replying at 4 am 6 am your time reply to linkedin leads using proven scripts must check inbox hourly track booked calls reply fast perfect written english no slow energy no excuses if youre sharp live in a usa timezone and want to make 2000 monthly long term 1 study this training with focused 15 minutes so we see you are serious 2 do the test inside with attention your details accuracy in your replies show how sharp you are to get hired 3 then reply from here full time dm setter training test to see your speed and intelligence and level of attention to details httpswwwcanvacomdesigndagudvbvzogttpqdp8plrrg8qjmwatbgaeditutmcontentdagudvbvzogutmcampaigndesignshareutmmediumlink2utmsourcesharebutton please mention the word suave when applying to show you read the job post completely rmzqumtq4lji0mi4xmjk this is a feature to avoid fake spam applicants companies can search these words to find applicants that read this and instantly see theyre human salary and compensation 10000 20000year,,,ingls,No identificado,https://remoteok.com/remote-jobs/remote-2-000-monthly-linkedin-dm-reply-job-usa-timezone-executive-bootcamp-1093768,,,1,1250.0,15000,anual,USD,637500.0,637500.0,4,natural sciences managers (bajo),"Categoría laboral: natural sciences managers (bajo). nivel bajo o entry-level. Salario en colones: ₡637,500.",Medio,Natural Sciences Managers (Asistente),0,C_5,< ₡1M,,,C5
RemoteOK,natural sciences managers,ui ux designer,spiralyze,remoto,remoto,,,10000 40000 per year,internacional,2025-11-08 00:00:00,spiralyze spiralyzecom apply now 11792 views 1385 applied 12 share this job get a rokco short link spiralyze is hiring a remote ui ux designer looking for a toptier web designer to join our team we are a 180person us design agency that works with major saas brands to make their website epic you will join our team of designers creating designs that wow our clients and increase their conversion rates your job is to take wireframes and turn them into highfidelity mockups that work with the clients design language and are awesome you will work with a team of 20 awesome designers united in the mission of creating cool stuff we look forward to hearing from you please provide a portfolio with at least two 2 figma projects of yours requirements experience2 years of uiux design experience figma expertisecreate style libraries handover files and responsive autolayout design flexibilitywork with the clients brand guidelines and house style ambitionyou need to create great stuff nail the vision attention to detail and iterating communicationintermediate or better english benefits cuttingedge worklearn from market leaders see your designs come to life on popular websites that your friends and family use flexible working hoursoverlap with us eastern standard time for 45 hours the rest of the day planning is yours promotion opportunitiesgrow share knowledge and advance within the company technology allowanceget the tools you need educationaccess companysponsored courses and training paid leaveenjoy 20 days of allpurpose vacation leaves plus holidays please mention the word affably when applying to show you read the job post completely rmzqumtq4lji0mi4xmjk this is a feature to avoid fake spam applicants companies can search these words to find applicants that read this and instantly see theyre human salary and compensation 10000 40000year,,,ingls,No identificado,https://remoteok.com/remote-jobs/remote-ui-ux-designer-spiralyze-1093520,,,176,2083.333333333333,25000,anual,USD,1062499.9999999998,1062499.9999999998,4,natural sciences managers (bajo),"Categoría laboral: natural sciences managers (bajo). nivel bajo o entry-level. Salario en colones: ₡1,062,500.",Alto,Natural Sciences Managers (Coordinador),0,C_5,₡1M-₡2M,,,C5
RemoteOK,natural sciences managers,connected care assistant,included health,remoto,remoto,,,20000 40000 per year,internacional,2025-11-08 00:00:00,included health apply now 2346 views 339 applied 14 share this job get a rokco short link included health is hiring a remote connected care assistant included health offers a transformative approach to ensure superior care for our members through a dedicated team model our program addresses the ongoing needs of members by providing a robust clinicianled multidisciplinary team to support both administrative and clinical requirements this highvalued care coordination and support service is available to all members who have enrolled in all included care aic virtual primary care vpc and the care and case management ccm our aim is to anticipate and identify the ongoing needs of our members as they engage in these programs ensuring a seamless and membercentric experience we are seeking an individual who values providing worldclass service to every member and is committed to ensuring its delivery as a connected care assistant you will work with the clinical team to help members manage their complex or chronic health conditions your responsibilities will include coordinating patientcare services providing support and delivering additional services as identified by the clinical team the ideal candidate should possess a compassionate nature possess relevant healthcare knowledge and exhibit exceptional customer service skills ccas are prohibited from providing clinical advice diagnosis conducting evaluations and interpreting clinical information to members responsibilities focusing on member engagement complete scheduled shifts for member calls chats and internal referrals into ccm targeted outreach shifts to engage atrisk members into ccm use autodialer tooling for targeted outreach to the eligible population manage and triage related care plan task queues coordinate care for members and their familiescaregivers as identified by the clinical team recommend benefits available to members through their employers benefits navigationinitiate related cases eg provider match concierge referrals expert medical opinion claims as identified by the clinical team complete administrative tasks such as compose letters and mailings to members and providers obtain medical releases and records triage callback tickets referrals and escalations monitor email referrals and communications monitor and manage portals such as ovia and acm insurance feeds attend huddles when requested attend ongoing training and courses to stay current with new developments in healthcare comply with organizational guidelines and healthcare laws and regulations other duties as assigned requirements prior experience in case management or healthcare setting is preferred proficiency in motivational interviewing techniques ability to multitask and remain flexible in a constantly changing environment strong telephone skills including the ability to navigate conversations effectively and anticipate needs over the phone demonstrates professional and effective communication skills both verbal and written effective time management and can work autonomously highly organized with the ability to manage tasks and meet deadlines proficient in computer technology with the ability to quickly learn new computer platforms experience with health it systems and reports is desirable knowledge and connections to community healthcare and social welfare resources is preferred demonstrates a positive and respectful attitude towards peers team members and patients acknowledges patient rights on confidentiality issues maintains patient confidentiality at all times and follows hipaa guidelines and regulations commitment to schedule 118 est or 85 pst mondayfriday the united states new hire base salary target ranges for this fulltime position are compensation 24 3000 equity benefits starting base salary for the successful candidate will depend on several jobrelated factors unique to each candidate which may include but not limited to education training skill set years and depth of experience certifications and licensure business needs internal peer equity organizational considerations and alignment with geographic and market data compensation structures and ranges are tailored to each zones unique market conditions to ensure that all employees receive fair and competitive compensation based on their roles and locations your recruiter can share details of your geographic alignment upon inquiry in addition to receiving a competitive pay the compensation package may include depending on the role the following remotefirst culture 401k savings plan through fidelity comprehensive medical vision and dental coverage through multiple medical plan options including disability insurance full suite of included health telemedicine eg behavioral health urgent care etc and health care navigation products and services offered at no cost for employees and dependents generous paid time off pto and discretionary time off dto 12 weeks of 100 paid parental leave up to 25000 fertility and family building benefit compassionate leave paid leave for employees who experience a failed pregnancy surrogacy adoption or fertility treatment 11 holidays paid with one floating paid holiday workfromhome reimbursement to support team collaboration and effective home office work 24 hours of paid volunteer time off vto per year to volunteer with charitable organizations your recruiter will share more about the benefits package for your role during the hiring process about included health included health is a new kind of healthcare company delivering integrated virtual care and navigation were on a mission to raise the standard of healthcare for everyone we break down barriers to provide highquality care for every person in every community no matter where they are in their health journey or what type of care they need from acute to chronic behavioral to physical we offer our members care guidance advocacy and access to personalized virtual and inperson care for everyday and urgent care primary care behavioral health and specialty care its all included learn more atincludedhealthcom included health is an equal opportunity employer and considers applicants for employment without regard to race color religion sex orientation national origin age disability genetics or any other basis forbidden under federal state or local law included health considers all qualified applicants with arrest or conviction records in accordance with the san francisco fair chance ordinance the los angeles county fair chance ordinance and california law salary and compensation no salary data published by company so we estimated salary based on similar jobs related to non tech and non tech jobs that are similar 20000 40000year benefits 401k distributed team async vision insurance dental insurance medical insurance unlimited vacation paid time off 4 day workweek 401k matching company retreats coworking budget learning budget free gym membership mental wellness budget home office budget pay in crypto pseudonymous profit sharing equity compensation no whiteboard interview no monitoring system no politics at work we hire old and young location remote,,,no especificado,No identificado,https://remoteok.com/remote-jobs/remote-connected-care-assistant-included-health-1093774,,,176,2500.0,30000,anual,USD,1275000.0,1275000.0,4,natural sciences managers (medio-bajo),"Categoría laboral: natural sciences managers (medio-bajo). nivel medio-bajo. Salario en colones: ₡1,275,000.",Alto,Natural Sciences Managers (Coordinador),0,C_5,₡1M-₡2M,,,C5
RemoteOK,natural sciences managers,medical record,accompany health,remoto,remoto,,,20000 40000 per year,internacional,2025-11-08 00:00:00,accompany health apply now 3811 views 290 applied 8 share this job get a rokco short link accompany health is hiring a remote medical record specialist accompany health is on a mission to give lowincome patients with complex needs the dignified highquality care they deserve but rarely receive a primary behavioral and social care provider accompany health walks alongside patients for their entire care journey offering athome and virtual care as well as 247 support partnering with innovative payors accompany health is powered by remarkable care teams elegant technology and a commitment to evidencebased practice we build longterm relationships with our patients so they know without question that our team is here for them day or night year after year we focus on the health outcomes most important to our patients to make it clear that they lead the way to achieve our mission we collaborate with communitybased organizations local providers and health plans led by our empathetic care teams guided by proven care models and powered by our own technology we deliver a level of service that our communities rightfully deserve but rarely receive while our headquarters is in bethesda md our teams are distributed across the country if youre eager to make a tangible difference in peoples lives to help correct longstanding disparities in health care join us about the role as a value based care vbc medical record specialist for accompany health ah you will be performing external medical record note review to populate pertinent historical information in the patients accompany health ah athenahealth record sending external medical record requests and obtaining then categorizing the records when they return hedis measure prep to alert the provider of current results and open gaps that need to be addressed responsibilities will include review collected medical records housed in a repository through the athenahealth electronic medical record emr or via emr access to outside facility records for previsit chart prep while reviewing the above medical records identify key evidence for quality gap closure and transfer that data to designated locations within the patients ah athenahealth medical record identify and transfer pertinent lab results to populate the ah athenahealth medical record summarize identified trends with each patient ie high ed use frequent hospitalizations and communicate findings to the clinician via emr notes categorize key documents into appropriate chart note sections for clinician ease of review successful closure of medical record requests using follow up to facilities to obtain the requested records accurately identify documents and categorize them appropriately in the ah emr using the ah proprietary platform to identify hedis measure gaps and closures and complete the designated quality and preventive services template in the emr to assist the provider in determining open gaps other duties as assigned this role reports to the lead medical record specialist what makes you a fit for the team you are excited to work in a startup environment with the ambiguity and shifting priorities that might come with it at times you are willing to go the extra mile no matter what you are passionate about our mission to improve the lives and healthcare outcomes of marginalized communities desired skills and experience required associates degree medical record certification ie ahima or equivalent 3 years of relevant work experience in healthcare industry with health information andor direct medical record review and oversight comfort with multiple technology platforms including but not limited to a variety of emrs attention to detail preferred experience in previsit planning experience with athenahealth experience with gsuite and google applications 20 20 an hourthe base salary range for this fulltime position is 20hour equity benefits our salary ranges are determined by role level and location the range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position within the range individual pay is determined by work location and additional factors including jobrelated skills experience and relevant education or training our talent team can share more about the specific salary range for your preferred location during the hiring process liremote lilb1 for patient facing roles to keep our patients communities and each other safe youll be required to comply with accompany healths medical clearance requirements including completing a tb screen and providing proof of immunity or vaccination for certain conditions this is a condition of employment and we make exceptions as required by law accommodation for religious and medical beliefs will be provided on a case by case basis we embrace diversity and believe it creates a healthier atmosphere accompany health is an equal employment opportunity employer and all qualified applicants will receive consideration for employment without regard to race color religion sex age national origin protected veteran status disability status sexual orientation gender identity or expression marital status genetic information or any other characteristic protected by law salary and compensation no salary data published by company so we estimated salary based on similar jobs related to non tech and non tech jobs that are similar 20000 40000year benefits 401k distributed team async vision insurance dental insurance medical insurance unlimited vacation paid time off 4 day workweek 401k matching company retreats coworking budget learning budget free gym membership mental wellness budget home office budget pay in crypto pseudonymous profit sharing equity compensation no whiteboard interview no monitoring system no politics at work we hire old and young location united states,,,no especificado,No identificado,https://remoteok.com/remote-jobs/remote-medical-record-specialist-accompany-health-1093756,,,176,2500.0,30000,anual,USD,1275000.0,1275000.0,4,natural sciences managers (medio-bajo),"Categoría laboral: natural sciences managers (medio-bajo). nivel medio-bajo. Salario en colones: ₡1,275,000.",Alto,Natural Sciences Managers (Coordinador),0,C_5,₡1M-₡2M,,,C5
RemoteOK,natural sciences managers,wordpress plugins themes developer,melapress,remoto,remoto,,,20000 40000 per year,internacional,2025-11-08 00:00:00,melapress melapresscom apply now 5243 views 510 applied 10 share this job get a rokco short link also hiring content led marketer melapress is hiring a remote wordpress plugins themes developer launch your wordpress career at melapress and help us build secure highimpact products and a great web presence would you like to turn your love for wordpress into productionready code do you want to learn from senior engineers who maintain plugins that run on hundreds of thousands of sites if so wed love to hear from you atmelapress we develop securityfocused plugins such aswp activity logandwp 2fa and we run multiple inhouse properties including our own website melapresscom on wordpress were searching for awordpress plugins themes developer with focus on devops to join our fully remote team and grow alongside our senior engineers about melapress melapress is a remote software startup that develops several wordpress security user management and administration plugins our plugins are installed on more than 400000 websites and help website administrators and managers improve the security of their websites and better manage them and their users what you will be doing as a wordpress plugins themes developer you will theme work help develop and maintain the custom theme powering melapresscom block editor performance accessibility integrations devops create apidriven integrations with services such as mailerlite freemius plugins such as easy digital downloads and our internal reporting tools plugin work build and refine new features for all our plugins including melapress login security and melapress role editor collaboration collaborate with the support and product team to troubleshoot and fix bugs in the existing codebase learning documentation develop and maintain comprehensive documentation for all the projects you work on by working in a small but fastgrowing team other responsibilities and development opportunities may come along from time to time skills and experience 12 years of handson wordpress developmentplugins andor themes solid grasp ofphpjavascript es6csssass andmysql familiarity withwordpress hooks actions filters rest api and block editorbasics comfortable withgit commandline workflows and localstaging environments experience building and working withrestful apisand handling jsonxml and other data formats basic understanding ofdevops conceptsci pipelines composer wpcli caching comfortableworking in a remote teamand capable of working independently strong communication skillsand proficiency in english communication nice to have recognized author profile in the wordpress space interest in web security test automation or performance profiling what we offer competitive salary or rates based on experience the opportunity to work on widely used wordpress security products a small friendly team where your contributions have a real impact opportunities to experiment with ai and other cuttingedge tools please mention the word worthwhile when applying to show you read the job post completely rmzqumtq4lji0mi4xmjk this is a feature to avoid fake spam applicants companies can search these words to find applicants that read this and instantly see theyre human salary and compensation 20000 40000year benefits distributed team paid time off company retreats home office budget no monitoring system no politics at work,,,ingls,No identificado,https://remoteok.com/remote-jobs/remote-wordpress-plugins-themes-developer-melapress-1093690,,,176,2500.0,30000,anual,USD,1275000.0,1275000.0,4,natural sciences managers (medio-bajo),"Categoría laboral: natural sciences managers (medio-bajo). nivel medio-bajo. Salario en colones: ₡1,275,000.",Alto,Natural Sciences Managers (Coordinador),0,C_5,₡1M-₡2M,,,C5
RemoteOK,natural sciences managers,backend developer lobstrio python scraping celery,lobstrio,remoto,remoto,,,30000 40000 per year,internacional,2025-11-08 00:00:00,lobstrio lobstrio apply now 11461 views 1786 applied 16 share this job get a rokco short link lobstrio is hiring a remote backend developer lobstrio python scraping celery lobstriois a nocode scraping saas used by 25000 active users every month we allow nontechnical users to extract and automate structured data from complex websites were looking for a fulltimebackend developerto join our core team and help us build maintain and scale our scraping infrastructure youll work closely with the founder and the product team 2 frontend devs 1 designer 1 content writer this role is remotefirst asyncfriendly and has a lowmeeting culture your mission build and maintain python scrapers maintain and scale our asynchronous job pipeline celery redis improve internal tools and admin panels solve scraping challenges detection evasion speed modularity stack python django postgresql celery redis gitlab notion trello slack remote linux servers vscode sentry why join us 150 yoy growth public scraper roadmap goal 4month profitsharing on monthly mrr growth real impact on architecture and product full remote with paid time off 1 daymonth work culture 1 short dev sync per week 1 monthly allhands you manage your schedule we care about delivery not hours trial and salary 3month trial 2000month then 2500month mrr growth sharing 20 contract freelance contractor via deel possible longterm contract or ctotrack if the fit is right please mention the word bonuses when applying to show you read the job post completely rmzqumtq4lji0mi4xmjk this is a feature to avoid fake spam applicants companies can search these words to find applicants that read this and instantly see theyre human salary and compensation 30000 40000year benefits distributed team async paid time off profit sharing no monitoring system no politics at work,,,no especificado,No identificado,https://remoteok.com/remote-jobs/remote-backend-developer-lobstr-io-python-scraping-celery-lobstr-io-1093607,,,52,2916.666666666667,35000,anual,USD,1487500.0000000002,1487500.0000000002,4,natural sciences managers (medio-bajo),"Categoría laboral: natural sciences managers (medio-bajo). nivel medio-bajo. Salario en colones: ₡1,487,500.",Alto,Natural Sciences Managers (Coordinador),0,C_5,₡1M-₡2M,,,C5
RemoteOK,natural sciences managers,python backend engineer,orga ai,remoto,remoto,,,40000 60000 per year,internacional,2025-11-08 00:00:00,orga ai apply now 14302 views 1616 applied 11 share this job get a rokco short link orga ai is hiring a remote senior python backend engineer about orga ai orga ai headquartered in palma de mallorca builds realtime ai systems that see listen and speak our mission is to enable people to interact with technology in a fluid and natural way through the multimodality of ai responsibilities design and optimize python 311 fastapi asynciobased apis and microservices powering our sdk and tts engine integrate and scale audiovideo components webrtc websockets to maintain latency below 300 ms implement secure and scalable architectures in aws eks fargate using iac terraform and cicd github actions ensure observability with prometheusgrafana and maintain defined slos collaborate with the mern and devops teams for efficient continuous deployments mentor junior team members and participate in code reviews with a focus on best practices requirements 5 years of experience building productiongrade backends with python expertise in concurrency and highperformance systems asyncio multiprocessing profiling professional english proficiency and time zone overlap within cet 2 hours nice to have experience with audiovideo streaming or tts work with llms pytorch transformers or onnx runtime knowledge of rust or go for highperformance paths experience leading endtoend features in fastpaced environments what we offer 100 remote contract flexible schedule focused on outcomes multidisciplinary team and a culture of continuous feedback selection process interview 40 min technical deepdive 90 min pairing with the cto cultural fit roadmap 45 min chat with the ceo and coceo all steps are completed within 7 days from the initial interview were not your typical startup orga ai is a startup founded by marc revert ceo a 17yearold entrepreneur and julio roldn coceo a seasoned professional with over 30 years of experience our international team of 18 members spans the us japan argentina spain and france we are part of the santander x100 program ranked 55 among the top 100 startups by el referente and backed by both public and private funding please mention the word convienient when applying to show you read the job post completely rmzqumtq4lji0mi4xmjk this is a feature to avoid fake spam applicants companies can search these words to find applicants that read this and instantly see theyre human salary and compensation 40000 60000year benefits distributed team equity compensation we hire old and young,,,ingls,No identificado,https://remoteok.com/remote-jobs/remote-senior-python-backend-engineer-orga-ai-1093458,,,176,4166.666666666667,50000,anual,USD,2125000.0,2125000.0,4,natural sciences managers (medio-bajo),"Categoría laboral: natural sciences managers (medio-bajo). nivel medio-bajo. Salario en colones: ₡2,125,000.",Muy Alto,Natural Sciences Managers (Coordinador),0,C_5,₡2M-₡3M,,,C5
RemoteOK,natural sciences managers,account executive,coingecko,remoto,remoto,,,50000 80000 per year,internacional,2025-11-08 00:00:00,coingecko apply now 2702 views 237 applied 9 share this job get a rokco short link coingecko is hiring a remote account executive coingecko is a global leader in tracking cryptocurrency data operating since 2014 coingecko has built the worlds largest cryptocurrency data platform tracking over 10000 tokens across more than 400 exchanges serving over 300 million page views in more than 100 countries we are proud to have played a major part in mainstream awareness adoption and education of cryptocurrency globally we at coingecko believe that cryptocurrency and blockchain will define the future of finance bringing greater financial and economic freedom around the world in anticipation of that future coingecko is building the foundation to scale cryptocurrency market data to serve billions this role is open for candidates who are based in malaysia or singapore onlywe practice transparent salaries and a level structure at coingecko l2 annual ote 4060 basecommission split malaysia ote rm172908 singapore ote s112413 learn more about our level structure at coingeckos career progression what will you be doing api sales manage the endtoend sales process to consistently meet or exceed individual sales targets execute consultative sales presentations and product demonstrations to prospective clients revenue growth contribute to revenue growth by identifying and qualifying upsell opportunities within your assigned accounts and communicating them to the account management team sales strategy execute the established sales strategy and gotomarket plan follow defined processes for prospecting engagement and closing deals sales forecasting maintain an accurate sales forecast for your pipeline and report on progress towards monthly and quarterly targets lead generation actively prospect and qualify new leads from marketing campaigns and outbound efforts to build a robust sales pipeline relationship management develop and maintain strong relationships with clients to understand their needs and ensure a positive sales experience log all communications accurately in the crm solutioning technical scoping work with clients to understand their technical requirements and business objectives prepare solution proposals and recommend suitable api plans with support from senior team members market research keep uptodate with industry trends and competitive offerings to effectively position coingeckos api in the market sales reporting analytics track and report on all sales activities pipeline status and results using the crm and other sales tools sales operations process optimization maintain disciplined crm hygiene and follow established sales processes and playbooks to ensure operational efficiency collaboration collaborate with internal support teams to ensure a smooth handover from sales to onboarding for new clients coaching assist in mentoring and training internsjunior team members provide feedback on their work and contribute to knowledgesharing activities within the team you are required to support any ad hoc tasks as required by the company what we look for in you proven track record you have 23 years of experience in driving enterprise saas sales with a strong track record of consistently achieving or exceeding sales targets preferably in the startup or fintech industry education bachelors degree in marketing business or related field is a plus product knowledge you have a good understanding of coingeckos products and a willingness to quickly develop deep expertise in our api offerings sales knowledge you have a solid understanding of the sales lifecycle sales funnel and qualification techniques familiarity with data tools you have experience using a crm eg hubspot to manage leads and sales activities familiarity with api products you have a foundational understanding of or strong interest in api products and the saas business model project management you can manage multiple initiatives with a focus on meeting deadlines you are able to coordinate tasks manage resources and track progress to ensure successful project delivery you possess high attention to detail accuracy and quality ensuring top execution standards entrepreneurial you are selfmotivated resourceful and have an entrepreneurial mindset with the ability to succeed in a fastpaced and highly agile environment communication you have strong written and verbal communication skills with the ability to articulate value propositions clearly negotiation you have good foundational negotiation skills and a desire to develop them further leadership you are a natural leader who can work independently to influence and collaborate with stakeholders at all levels growth mindset you possess strong critical thinking skills and a passion for continuous learning staying informed about web3 and emerging technologies web3 interest you have a keen interest in blockchain cryptocurrency nft web3 and metaverse topics perks at coingecko remote work flexibility work wherever you feel most productive we also provide office space in 1powerhouse malaysia and wework singapore if you ever feel like meeting your colleagues in person flexible working hours no 95 structure work the hours you need to get your tasks done comprehensive insurance coverage we provide life and hospitalization coverage for you along with hospitalization coverage for your dependents virtual share options youll be entitled to virtual options with terms and conditions bonus youll be entitled to a bonus with terms and conditions parking allowance you will be given a monthly fixed allowance of rm 150 or sgd 100 to ease the cost of traveling meal allowance you will be given a monthly fixed allowance of rm600 or sgd400 to subsidize the cost of your meals learning allowance you will be allocated an annual budget of usd500 claim basis to help you continuously learn in the pursuit of your professional and personal development social activity allowance want to set a date to watch a movie or play futsal with your colleagues get it organized and we subsidize a portion claim basis of the cost annual company offsite we gather once a year to meet each other in person reflect on the year and partake in social activities coingecko is an equal employment opportunity employer qualified candidates are considered for employment without regard to race religion gender gender identity sexual orientation national origin age military or veteran status disability or any other characteristic protected by applicable law interested in being a geckohit the apply button to get started on your application salary and compensation no salary data published by company so we estimated salary based on similar jobs related to saas web3 api senior marketing and sales jobs that are similar 50000 80000year benefits 401k distributed team async vision insurance dental insurance medical insurance unlimited vacation paid time off 4 day workweek 401k matching company retreats coworking budget learning budget free gym membership mental wellness budget home office budget pay in crypto pseudonymous profit sharing equity compensation no whiteboard interview no monitoring system no politics at work we hire old and young,,,no especificado,No identificado,https://remoteok.com/remote-jobs/remote-account-executive-coingecko-1093761,,,176,5416.666666666667,65000,anual,USD,2762500.0,2762500.0,5,natural sciences managers (medio-bajo),"Categoría laboral: natural sciences managers (medio-bajo). nivel medio-bajo. Salario en colones: ₡2,762,500.",Muy Alto,Natural Sciences Managers (Coordinador),0,C_5,₡2M-₡3M,,,C5
RemoteOK,natural sciences managers,customer care advisor,goodleap,remoto,remoto,,,55000 75000 per year,internacional,2025-11-08 00:00:00,goodleap apply now 3925 views 656 applied 17 share this job get a rokco short link goodleap is hiring a remote customer care advisor about goodleap goodleap is a technology company delivering bestinclass financing and software products for sustainable solutions from solar panels and batteries to energyefficient hvac heat pumps roofing windows and more over 1 million homeowners have benefited from our simple fast and frictionless technology that makes the adoption of these products more affordable accessible and easier to understand thousands of professionals deploying home efficiency and solar solutions rely on goodleaps proprietary aipowered applications and developer tools to drive more transparent customer communication deeper business intelligence and streamlined payment and operations our platform has led to more than 27 billion in financing for sustainable solutions since 2018 goodleap is also proud to support our awardwinning nonprofit givepower which is building and deploying lifesaving water and clean electricity systems changing the lives of more than 16 million people across africa asia and south america the customer care advisor is responsible for initiating the sales process building and managing prospect lists and generating qualified leads that will be passed on to designated sales staff for followup essential job duties responsibilities representing goodleap as a subject matter expert during a series of calls to customers provide exceptional customer service and support by utilizing strong verbal and written communication skills offer additional goodleap products to customers that may benefit from goodleaps other services update goodleap systems to ensure each interaction with a customer is well documented handle issues with diplomacy to ensure that every customer is happy with their experience with goodleap escalate issues to management when necessary and ensure customer concerns are explained effectively and clearly complete other tasks as deemed appropriate by manager required skills knowledge abilities 3 years of customer service andor sales experience previous solar customer service or sales experience highly desired excellent interpersonal verbal and written communication skills demonstrates ability to display patience empathy and strong listening skills while ensuring customer needs are fulfilled in a timely and satisfactory fashion embraces change and is flexible to the needs of the business and team ability to accept and apply coaching and feedback from leadership proven track record of reliability and a strong work ethic is a must compensation22hr additional information regarding job duties and job descriptions job duties include additional responsibilities as assigned by ones supervisor or other managers related to the positiondepartment this job description is meant to describe the general nature and level of work being performed it is not intended to be construed as an exhaustive list of all responsibilities duties and other skills required for the position the company reserves the right at any time with or without notice to alter or change job responsibilities reassign or transfer job position or assign additional job responsibilities subject to applicable law the company shall provide reasonable accommodations of known disabilities to enable a qualified applicant or employee to apply for employment perform the essential functions of the job or enjoy the benefits and privileges of employment as required by the law if you are an extraordinary professional who thrives in a collaborative work culture and values a rewarding career then we want to work with you apply today salary and compensation no salary data published by company so we estimated salary based on similar jobs related to sales and sales jobs that are similar 55000 75000year benefits 401k distributed team async vision insurance dental insurance medical insurance unlimited vacation paid time off 4 day workweek 401k matching company retreats coworking budget learning budget free gym membership mental wellness budget home office budget pay in crypto pseudonymous profit sharing equity compensation no whiteboard interview no monitoring system no politics at work we hire old and young location remote,,,no especificado,No identificado,https://remoteok.com/remote-jobs/remote-customer-care-advisor-goodleap-1093771,,,176,5416.666666666667,65000,anual,USD,2762500.0,2762500.0,5,natural sciences managers (medio-bajo),"Categoría laboral: natural sciences managers (medio-bajo). nivel medio-bajo. Salario en colones: ₡2,762,500.",Muy Alto,Natural Sciences Managers (Coordinador),0,C_5,₡2M-₡3M,,,C5
